episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.15660705775024383,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
1,False,False,,,,0.15157016594378447,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
2,False,False,,,,0.18878285741191128,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
3,False,False,,,,0.15504601571736534,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
4,False,False,,,,0.16270461811859982,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
5,False,False,,,,0.1889162636615655,1.432,sim,drag_bounce,zero,specular,quintic,open_loop
6,False,False,,,,0.190042667971698,2.216,sim,drag_bounce,zero,specular,quintic,open_loop
7,False,False,,,,0.14774469028422837,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
8,False,False,,,,0.1524651362364907,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
9,False,False,,,,0.19037148062187798,1.52,sim,drag_bounce,zero,specular,quintic,open_loop
10,False,False,,,,0.18318936118211315,2.344,sim,drag_bounce,zero,specular,quintic,open_loop
11,False,False,,,,0.17522946707012915,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
12,False,False,,,,0.18068567950484848,1.456,sim,drag_bounce,zero,specular,quintic,open_loop
13,False,False,,,,0.19132113463038772,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
14,False,False,,,,0.18711148688384693,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
15,False,False,,,,0.17838593814456052,1.44,sim,drag_bounce,zero,specular,quintic,open_loop
16,False,False,,,,0.19050757733983634,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
17,False,False,,,,0.1884206574967542,1.528,sim,drag_bounce,zero,specular,quintic,open_loop
18,False,False,,,,0.1927303881762193,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
19,False,False,,,,0.18009911071087328,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
