episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.11435479621234688,1.56,sim,ballistic,zero,face_net,lerp,reactive
1,False,False,,,,0.19801081597648834,1.688,sim,ballistic,zero,face_net,lerp,reactive
2,False,False,,,,0.17610306449185326,1.56,sim,ballistic,zero,face_net,lerp,reactive
3,False,False,,,,0.16689723997893158,1.56,sim,ballistic,zero,face_net,lerp,reactive
4,False,False,,,,0.12827059369247334,1.56,sim,ballistic,zero,face_net,lerp,reactive
5,False,False,,,,0.09781905168266875,1.56,sim,ballistic,zero,face_net,lerp,reactive
6,False,False,,,,0.1906457654795222,1.56,sim,ballistic,zero,face_net,lerp,reactive
7,False,False,,,,0.17484307436511626,1.56,sim,ballistic,zero,face_net,lerp,reactive
8,False,False,,,,0.1741251993998962,1.56,sim,ballistic,zero,face_net,lerp,reactive
9,False,False,,,,0.16417395161849266,1.56,sim,ballistic,zero,face_net,lerp,reactive
10,False,False,,,,0.19299986475437603,1.56,sim,ballistic,zero,face_net,lerp,reactive
11,False,False,,,,0.18299320095283067,1.56,sim,ballistic,zero,face_net,lerp,reactive
12,False,False,,,,0.16249934337985075,1.56,sim,ballistic,zero,face_net,lerp,reactive
13,False,False,,,,0.17646215565914883,1.56,sim,ballistic,zero,face_net,lerp,reactive
14,False,False,,,,0.1839222033652193,1.56,sim,ballistic,zero,face_net,lerp,reactive
15,False,False,,,,0.17736540893642483,1.56,sim,ballistic,zero,face_net,lerp,reactive
16,False,False,,,,0.13612246828959568,1.56,sim,ballistic,zero,face_net,lerp,reactive
17,False,False,,,,0.18862732386275857,1.56,sim,ballistic,zero,face_net,lerp,reactive
18,False,False,,,,0.14024282984612724,1.56,sim,ballistic,zero,face_net,lerp,reactive
19,False,False,,,,0.18908352438015164,1.56,sim,ballistic,zero,face_net,lerp,reactive
