episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.1425715658568307,1.56,sim,drag_bounce,zero,specular,quintic,replan
1,False,False,,,,0.18623656718004333,1.56,sim,drag_bounce,zero,specular,quintic,replan
2,False,False,,,,0.0782949076774189,1.56,sim,drag_bounce,zero,specular,quintic,replan
3,False,False,,,,0.13911584615684008,1.56,sim,drag_bounce,zero,specular,quintic,replan
4,False,False,,,,0.15507888415033355,1.56,sim,drag_bounce,zero,specular,quintic,replan
5,False,False,,,,0.14569842557361665,1.56,sim,drag_bounce,zero,specular,quintic,replan
6,False,False,,,,0.10123154103917816,1.56,sim,drag_bounce,zero,specular,quintic,replan
7,False,False,,,,0.17340446951740496,0.728,sim,drag_bounce,zero,specular,quintic,replan
8,False,False,,,,0.12192661409341554,1.56,sim,drag_bounce,zero,specular,quintic,replan
9,False,False,,,,0.1506245917025086,1.56,sim,drag_bounce,zero,specular,quintic,replan
10,False,False,,,,0.060387457182253114,1.56,sim,drag_bounce,zero,specular,quintic,replan
11,False,False,,,,0.10146455465292506,1.56,sim,drag_bounce,zero,specular,quintic,replan
12,False,False,,,,0.1101286579758467,1.56,sim,drag_bounce,zero,specular,quintic,replan
13,False,False,,,,0.05728783328588685,1.56,sim,drag_bounce,zero,specular,quintic,replan
14,False,False,,,,0.10184650123842616,1.56,sim,drag_bounce,zero,specular,quintic,replan
15,False,False,,,,0.05495983861357141,1.56,sim,drag_bounce,zero,specular,quintic,replan
16,False,False,,,,0.11974513218384567,1.56,sim,drag_bounce,zero,specular,quintic,replan
17,False,False,,,,0.1514731988266743,1.56,sim,drag_bounce,zero,specular,quintic,replan
18,False,False,,,,0.13404345452107394,1.56,sim,drag_bounce,zero,specular,quintic,replan
19,False,False,,,,0.10383698142041531,1.56,sim,drag_bounce,zero,specular,quintic,replan
