episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.17290057190916283,1.56,sim,drag_bounce,zero,specular,quintic,replan
1,False,False,,,,0.1833410925329662,2.24,sim,drag_bounce,zero,specular,quintic,replan
2,False,False,,,,0.19367871921023033,1.56,sim,drag_bounce,zero,specular,quintic,replan
3,False,False,,,,0.12471621900758456,1.56,sim,drag_bounce,zero,specular,quintic,replan
4,False,False,,,,0.13608769562453113,1.56,sim,drag_bounce,zero,specular,quintic,replan
5,False,False,,,,0.1110033060391149,1.56,sim,drag_bounce,zero,specular,quintic,replan
6,False,False,,,,0.1789163240932986,1.3840000000000001,sim,drag_bounce,zero,specular,quintic,replan
7,False,False,,,,0.1950635429793609,1.56,sim,drag_bounce,zero,specular,quintic,replan
8,False,False,,,,0.1730113510633292,1.56,sim,drag_bounce,zero,specular,quintic,replan
9,False,False,,,,0.15590918401083256,1.56,sim,drag_bounce,zero,specular,quintic,replan
10,False,False,,,,0.16223314512888276,1.56,sim,drag_bounce,zero,specular,quintic,replan
11,False,False,,,,0.16750015716730718,1.56,sim,drag_bounce,zero,specular,quintic,replan
12,False,False,,,,0.16640675150318057,1.56,sim,drag_bounce,zero,specular,quintic,replan
13,False,False,,,,0.15308143946652752,1.56,sim,drag_bounce,zero,specular,quintic,replan
14,False,False,,,,0.11431367152340972,1.56,sim,drag_bounce,zero,specular,quintic,replan
15,False,False,,,,0.16815939515195932,1.56,sim,drag_bounce,zero,specular,quintic,replan
16,False,False,,,,0.17033029196158816,1.56,sim,drag_bounce,zero,specular,quintic,replan
17,False,False,,,,0.1887660629450172,1.56,sim,drag_bounce,zero,specular,quintic,replan
18,False,False,,,,0.16503160574326053,1.56,sim,drag_bounce,zero,specular,quintic,replan
19,False,False,,,,0.1587524812905282,1.56,sim,drag_bounce,zero,specular,quintic,replan
