episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.1732252284917033,2.2720000000000002,sim,drag_bounce,zero,specular,quintic,replan
1,False,False,,,,0.18932277171736636,1.56,sim,drag_bounce,zero,specular,quintic,replan
2,False,False,,,,0.17112940576213398,1.56,sim,drag_bounce,zero,specular,quintic,replan
3,False,False,,,,0.18395747899701798,1.536,sim,drag_bounce,zero,specular,quintic,replan
4,False,False,,,,0.19292050152764528,1.56,sim,drag_bounce,zero,specular,quintic,replan
5,False,False,,,,0.18371167403938013,1.56,sim,drag_bounce,zero,specular,quintic,replan
6,False,False,,,,0.18349491123987174,1.56,sim,drag_bounce,zero,specular,quintic,replan
7,False,False,,,,0.17893404583358205,1.56,sim,drag_bounce,zero,specular,quintic,replan
8,False,False,,,,0.15681658934339862,1.56,sim,drag_bounce,zero,specular,quintic,replan
9,False,False,,,,0.18342377858527295,1.56,sim,drag_bounce,zero,specular,quintic,replan
10,False,False,,,,0.18907492158833572,1.56,sim,drag_bounce,zero,specular,quintic,replan
11,False,False,,,,0.17965971013893897,1.56,sim,drag_bounce,zero,specular,quintic,replan
12,False,False,,,,0.1720719559043763,1.56,sim,drag_bounce,zero,specular,quintic,replan
13,False,False,,,,0.17716772981478604,1.552,sim,drag_bounce,zero,specular,quintic,replan
14,False,False,,,,0.10433462668364446,0.96,sim,drag_bounce,zero,specular,quintic,replan
15,False,False,,,,0.17364370041564742,1.56,sim,drag_bounce,zero,specular,quintic,replan
16,False,False,,,,0.18014256590376498,1.56,sim,drag_bounce,zero,specular,quintic,replan
17,False,False,,,,0.16967081816342117,1.56,sim,drag_bounce,zero,specular,quintic,replan
18,False,False,,,,0.18367835421534326,1.56,sim,drag_bounce,zero,specular,quintic,replan
19,False,False,,,,0.06369009875038445,1.56,sim,drag_bounce,zero,specular,quintic,replan
