episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.19379585229477184,1.536,sim,ballistic,zero,face_net,lerp,open_loop
1,False,False,,,,0.1935726139910061,2.376,sim,ballistic,zero,face_net,lerp,open_loop
2,False,False,,,,0.1890758461873092,1.6400000000000001,sim,ballistic,zero,face_net,lerp,open_loop
3,False,False,,,,0.1790270831593563,1.56,sim,ballistic,zero,face_net,lerp,open_loop
4,False,False,,,,0.19243572441868423,2.2960000000000003,sim,ballistic,zero,face_net,lerp,open_loop
5,False,False,,,,0.1672604411242561,1.56,sim,ballistic,zero,face_net,lerp,open_loop
6,False,False,,,,0.19289532257927863,1.536,sim,ballistic,zero,face_net,lerp,open_loop
7,False,False,,,,0.18910593753340244,1.56,sim,ballistic,zero,face_net,lerp,open_loop
8,False,False,,,,0.12219581791816561,1.56,sim,ballistic,zero,face_net,lerp,open_loop
9,False,False,,,,0.1793428509301004,1.56,sim,ballistic,zero,face_net,lerp,open_loop
10,False,False,,,,0.18554125905263597,1.56,sim,ballistic,zero,face_net,lerp,open_loop
11,False,False,,,,0.11193127264961211,1.56,sim,ballistic,zero,face_net,lerp,open_loop
12,False,False,,,,0.19840593402763426,1.448,sim,ballistic,zero,face_net,lerp,open_loop
13,False,False,,,,0.19033699339558274,1.536,sim,ballistic,zero,face_net,lerp,open_loop
14,False,False,,,,0.14260972581143103,1.56,sim,ballistic,zero,face_net,lerp,open_loop
15,False,False,,,,0.15895493312801115,1.56,sim,ballistic,zero,face_net,lerp,open_loop
16,False,False,,,,0.18709707252774765,1.56,sim,ballistic,zero,face_net,lerp,open_loop
17,False,False,,,,0.17082214244310245,1.56,sim,ballistic,zero,face_net,lerp,open_loop
18,False,False,,,,0.18260662320547177,1.56,sim,ballistic,zero,face_net,lerp,open_loop
19,False,False,,,,0.18279108157795793,1.56,sim,ballistic,zero,face_net,lerp,open_loop
20,False,False,,,,0.13832566766957052,1.56,sim,ballistic,zero,face_net,lerp,open_loop
21,False,False,,,,0.17553040438240508,1.56,sim,ballistic,zero,face_net,lerp,open_loop
22,False,False,,,,0.15613503355748093,1.976,sim,ballistic,zero,face_net,lerp,open_loop
23,False,False,,,,0.18350931550237404,1.56,sim,ballistic,zero,face_net,lerp,open_loop
24,False,False,,,,0.17490854444822415,1.56,sim,ballistic,zero,face_net,lerp,open_loop
25,False,False,,,,0.19485956594226475,1.536,sim,ballistic,zero,face_net,lerp,open_loop
26,False,False,,,,0.12878322556068014,1.56,sim,ballistic,zero,face_net,lerp,open_loop
27,True,False,,,,1.9835925816945332,1.488,sim,ballistic,zero,face_net,lerp,open_loop
28,False,False,,,,0.1936826823052528,1.56,sim,ballistic,zero,face_net,lerp,open_loop
29,False,False,,,,0.19806909955227825,1.528,sim,ballistic,zero,face_net,lerp,open_loop
30,False,False,,,,0.16095969749403088,1.92,sim,ballistic,zero,face_net,lerp,open_loop
31,False,False,,,,0.15042144261349097,1.56,sim,ballistic,zero,face_net,lerp,open_loop
32,False,False,,,,0.17163400210114066,1.336,sim,ballistic,zero,face_net,lerp,open_loop
33,False,False,,,,0.17086109057666493,1.56,sim,ballistic,zero,face_net,lerp,open_loop
34,False,False,,,,0.19642448413282276,1.56,sim,ballistic,zero,face_net,lerp,open_loop
35,False,False,,,,0.1790779827635554,1.56,sim,ballistic,zero,face_net,lerp,open_loop
36,False,False,,,,0.1545455838519586,1.56,sim,ballistic,zero,face_net,lerp,open_loop
37,False,False,,,,0.1877974134795531,1.536,sim,ballistic,zero,face_net,lerp,open_loop
38,False,False,,,,0.12524287821610383,1.56,sim,ballistic,zero,face_net,lerp,open_loop
39,False,False,,,,0.1692392917379497,1.408,sim,ballistic,zero,face_net,lerp,open_loop
