episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.1953599864118684,1.496,sim,drag_bounce,zero,face_net,lerp,open_loop
1,False,False,,,,0.1970650505648839,1.552,sim,drag_bounce,zero,face_net,lerp,open_loop
2,False,False,,,,0.1936635725635539,1.488,sim,drag_bounce,zero,face_net,lerp,open_loop
3,True,False,,,,1.9827661787278608,1.552,sim,drag_bounce,zero,face_net,lerp,open_loop
4,False,False,,,,0.19665639803353607,2.064,sim,drag_bounce,zero,face_net,lerp,open_loop
5,False,False,,,,0.19763600180100055,1.536,sim,drag_bounce,zero,face_net,lerp,open_loop
6,False,False,,,,0.19503910381038544,1.496,sim,drag_bounce,zero,face_net,lerp,open_loop
7,False,False,,,,0.19127095001736066,1.712,sim,drag_bounce,zero,face_net,lerp,open_loop
8,False,False,,,,0.19928832043319522,1.048,sim,drag_bounce,zero,face_net,lerp,open_loop
9,False,False,,,,0.19389087353182155,1.584,sim,drag_bounce,zero,face_net,lerp,open_loop
10,False,False,,,,0.17931220830973402,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
11,False,False,,,,0.19669967979513212,1.552,sim,drag_bounce,zero,face_net,lerp,open_loop
12,False,False,,,,0.19852049764256882,1.536,sim,drag_bounce,zero,face_net,lerp,open_loop
13,False,False,,,,0.19863309650493793,1.1280000000000001,sim,drag_bounce,zero,face_net,lerp,open_loop
14,False,False,,,,0.16063428759499404,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
15,False,False,,,,0.19541612928139085,1.496,sim,drag_bounce,zero,face_net,lerp,open_loop
16,False,False,,,,0.19242296335552764,1.544,sim,drag_bounce,zero,face_net,lerp,open_loop
17,False,False,,,,0.19399074146632497,2.696,sim,drag_bounce,zero,face_net,lerp,open_loop
18,False,False,,,,0.1938982594936757,1.52,sim,drag_bounce,zero,face_net,lerp,open_loop
19,False,False,,,,0.19651469166162938,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
20,False,False,,,,0.19103783676321026,1.712,sim,drag_bounce,zero,face_net,lerp,open_loop
21,True,False,,,,1.981256239070933,1.36,sim,drag_bounce,zero,face_net,lerp,open_loop
22,True,False,,,,2.124685528576893,0.736,sim,drag_bounce,zero,face_net,lerp,open_loop
23,False,False,,,,0.1906930953681611,2.8000000000000003,sim,drag_bounce,zero,face_net,lerp,open_loop
24,False,False,,,,0.19916521003002693,0.968,sim,drag_bounce,zero,face_net,lerp,open_loop
25,False,False,,,,0.19077509883915927,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
26,False,False,,,,0.19738321899689518,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
27,False,False,,,,0.19642405600822926,1.52,sim,drag_bounce,zero,face_net,lerp,open_loop
28,False,False,,,,0.19692733858618755,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
29,False,False,,,,0.1923259979771702,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
30,False,False,,,,0.19646062494409944,1.52,sim,drag_bounce,zero,face_net,lerp,open_loop
31,False,False,,,,0.19034652386682474,2.112,sim,drag_bounce,zero,face_net,lerp,open_loop
32,False,False,,,,0.18837239842316328,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
33,False,False,,,,0.16166803648168043,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
34,False,False,,,,0.19686098512071093,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
35,False,False,,,,0.19110428390391668,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
36,False,False,,,,0.19391101653399845,1.72,sim,drag_bounce,zero,face_net,lerp,open_loop
37,False,False,,,,0.1971326801089571,2.424,sim,drag_bounce,zero,face_net,lerp,open_loop
38,False,False,,,,0.16786710942649427,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
39,False,False,,,,0.15072156258360214,1.56,sim,drag_bounce,zero,face_net,lerp,open_loop
