episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.19271609139587587,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
1,False,False,,,,0.15715570562651537,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
2,False,False,,,,0.19218830070952772,1.528,sim,drag_bounce,zero,specular,lerp,open_loop
3,False,False,,,,0.191305669793529,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
4,False,False,,,,0.1732652454414196,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
5,True,False,,,,1.9859908721120518,1.784,sim,drag_bounce,zero,specular,lerp,open_loop
6,False,False,,,,0.19827971257914903,1.536,sim,drag_bounce,zero,specular,lerp,open_loop
7,True,False,,,,2.984623232380409,1.512,sim,drag_bounce,zero,specular,lerp,open_loop
8,False,False,,,,0.19314695884589972,1.504,sim,drag_bounce,zero,specular,lerp,open_loop
9,False,False,,,,0.19640860060039267,1.544,sim,drag_bounce,zero,specular,lerp,open_loop
10,False,False,,,,0.19809039238365664,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
11,False,False,,,,0.19235786414196682,2.6,sim,drag_bounce,zero,specular,lerp,open_loop
12,False,False,,,,0.19080222242290162,1.704,sim,drag_bounce,zero,specular,lerp,open_loop
13,False,False,,,,0.19634591058856732,1.44,sim,drag_bounce,zero,specular,lerp,open_loop
14,False,False,,,,0.19040577580605728,1.736,sim,drag_bounce,zero,specular,lerp,open_loop
15,False,False,,,,0.19671108860360656,1.496,sim,drag_bounce,zero,specular,lerp,open_loop
16,False,False,,,,0.19811339811895778,1.592,sim,drag_bounce,zero,specular,lerp,open_loop
17,False,False,,,,0.19726035469548753,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
18,False,False,,,,0.19035633285033027,1.72,sim,drag_bounce,zero,specular,lerp,open_loop
19,False,False,,,,0.17995286915148787,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
20,False,False,,,,0.19375780544644705,1.464,sim,drag_bounce,zero,specular,lerp,open_loop
21,False,False,,,,0.18993390307021044,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
22,True,False,,,,1.9996102565812526,0.616,sim,drag_bounce,zero,specular,lerp,open_loop
23,False,False,,,,0.19291465420047046,2.648,sim,drag_bounce,zero,specular,lerp,open_loop
24,False,False,,,,0.1903688282647939,2.8000000000000003,sim,drag_bounce,zero,specular,lerp,open_loop
25,False,False,,,,0.1918179492268357,1.688,sim,drag_bounce,zero,specular,lerp,open_loop
26,False,False,,,,0.19384420849291173,2.088,sim,drag_bounce,zero,specular,lerp,open_loop
27,True,False,,,,2.0193559639406318,0.6,sim,drag_bounce,zero,specular,lerp,open_loop
28,False,False,,,,0.19253902206682294,2.656,sim,drag_bounce,zero,specular,lerp,open_loop
29,False,False,,,,0.15745234023816002,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
30,False,False,,,,0.19404599056391847,2.504,sim,drag_bounce,zero,specular,lerp,open_loop
31,False,False,,,,0.1914894874366274,1.68,sim,drag_bounce,zero,specular,lerp,open_loop
32,False,False,,,,0.1378064801254161,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
33,False,False,,,,0.1976424646899802,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
34,True,False,,,,1.9831842313599721,1.328,sim,drag_bounce,zero,specular,lerp,open_loop
35,False,False,,,,0.19730097364057214,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
36,False,False,,,,0.1957825288447937,1.472,sim,drag_bounce,zero,specular,lerp,open_loop
37,True,False,,,,2.0260362514083354,0.584,sim,drag_bounce,zero,specular,lerp,open_loop
38,False,False,,,,0.1911343960081152,1.736,sim,drag_bounce,zero,specular,lerp,open_loop
39,False,False,,,,0.19801971728204315,1.56,sim,drag_bounce,zero,specular,lerp,open_loop
