episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,True,False,,,,1.9800967166472594,1.8960000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
1,True,False,,,,3.080203809058597,1.496,sim,drag_bounce,zero,specular,quintic,open_loop
2,False,False,,,,0.18596802879126972,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
3,True,False,,,,1.981304164351635,1.488,sim,drag_bounce,zero,specular,quintic,open_loop
4,False,False,,,,0.19655470334592334,1.696,sim,drag_bounce,zero,specular,quintic,open_loop
5,False,False,,,,0.19843965752974857,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
6,True,False,,,,1.9814265383353984,1.504,sim,drag_bounce,zero,specular,quintic,open_loop
7,True,False,,,,1.987726523883653,1.48,sim,drag_bounce,zero,specular,quintic,open_loop
8,False,False,,,,0.1975992127075073,1.528,sim,drag_bounce,zero,specular,quintic,open_loop
9,True,False,,,,1.9814888862426119,1.424,sim,drag_bounce,zero,specular,quintic,open_loop
10,False,False,,,,0.19247074608364823,1.776,sim,drag_bounce,zero,specular,quintic,open_loop
11,True,True,,,,5.523993977609585,1.944,sim,drag_bounce,zero,specular,quintic,open_loop
12,True,False,,,,2.9840616238964763,1.352,sim,drag_bounce,zero,specular,quintic,open_loop
13,False,False,,,,0.19166596428492796,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
14,True,False,,,,2.9837162247079148,1.672,sim,drag_bounce,zero,specular,quintic,open_loop
15,True,False,,,,2.0855099241936825,0.6,sim,drag_bounce,zero,specular,quintic,open_loop
16,False,False,,,,0.19474809129122866,1.704,sim,drag_bounce,zero,specular,quintic,open_loop
17,True,False,,,,2.0537851245139533,0.704,sim,drag_bounce,zero,specular,quintic,open_loop
18,False,False,,,,0.17638967826015528,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
19,False,False,,,,0.16630458910663365,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
20,True,False,,,,2.985228977920783,1.4000000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
21,True,False,,,,2.9978430713664794,1.848,sim,drag_bounce,zero,specular,quintic,open_loop
22,True,False,,,,1.9928805613431628,0.5680000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
23,False,False,,,,0.19569535105821884,2.0,sim,drag_bounce,zero,specular,quintic,open_loop
24,False,False,,,,0.1970342824150881,1.6320000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
25,True,False,,,,4.13261520061118,1.744,sim,drag_bounce,zero,specular,quintic,open_loop
26,True,True,,,,5.845807671214678,1.208,sim,drag_bounce,zero,specular,quintic,open_loop
27,True,True,,,,5.7640994986410306,1.816,sim,drag_bounce,zero,specular,quintic,open_loop
28,True,False,,,,1.9905307203878553,0.992,sim,drag_bounce,zero,specular,quintic,open_loop
29,False,False,,,,0.19570970483533043,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
30,False,False,,,,0.1951039115377208,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
31,False,False,,,,0.19719062619036817,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
32,False,False,,,,0.19536388665193302,1.9040000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
33,True,False,,,,2.0009193956876135,0.5760000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
34,True,False,,,,1.9805052419907718,1.76,sim,drag_bounce,zero,specular,quintic,open_loop
35,False,False,,,,0.1888737802886975,1.56,sim,drag_bounce,zero,specular,quintic,open_loop
36,True,False,,,,2.9817094216842777,1.992,sim,drag_bounce,zero,specular,quintic,open_loop
37,True,False,,,,1.9808450083035738,1.696,sim,drag_bounce,zero,specular,quintic,open_loop
38,True,False,,,,2.0035766689988073,0.552,sim,drag_bounce,zero,specular,quintic,open_loop
39,False,False,,,,0.1957159823358936,1.6400000000000001,sim,drag_bounce,zero,specular,quintic,open_loop
