episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.16878915250712315,1.56,sim,drag_bounce,zero,specular,quintic,replan
1,False,False,,,,0.17598439067283037,1.56,sim,drag_bounce,zero,specular,quintic,replan
2,False,False,,,,0.19565487980876106,1.536,sim,drag_bounce,zero,specular,quintic,replan
3,False,False,,,,0.1984389978672515,1.56,sim,drag_bounce,zero,specular,quintic,replan
4,True,False,,,,5.294140108310757,1.208,sim,drag_bounce,zero,specular,quintic,replan
5,False,False,,,,0.1923816106134004,2.8000000000000003,sim,drag_bounce,zero,specular,quintic,replan
6,False,False,,,,0.19469479813383622,1.56,sim,drag_bounce,zero,specular,quintic,replan
7,False,False,,,,0.18990255351643212,1.56,sim,drag_bounce,zero,specular,quintic,replan
8,False,False,,,,0.18660872970559358,1.56,sim,drag_bounce,zero,specular,quintic,replan
9,False,False,,,,0.19711916834117804,1.192,sim,drag_bounce,zero,specular,quintic,replan
10,True,False,,,,1.9810258945256387,1.816,sim,drag_bounce,zero,specular,quintic,replan
11,False,False,,,,0.19723681080477143,1.536,sim,drag_bounce,zero,specular,quintic,replan
12,False,False,,,,0.19669282144025593,1.12,sim,drag_bounce,zero,specular,quintic,replan
13,False,False,,,,0.19760801618653143,1.216,sim,drag_bounce,zero,specular,quintic,replan
14,False,False,,,,0.19664862499778607,1.56,sim,drag_bounce,zero,specular,quintic,replan
15,False,False,,,,0.18193227151882885,1.56,sim,drag_bounce,zero,specular,quintic,replan
16,False,False,,,,0.18479176968401956,1.696,sim,drag_bounce,zero,specular,quintic,replan
17,False,False,,,,0.19923938039922395,1.992,sim,drag_bounce,zero,specular,quintic,replan
18,False,False,,,,0.1938177870325286,1.552,sim,drag_bounce,zero,specular,quintic,replan
19,False,False,,,,0.1993300573162069,1.936,sim,drag_bounce,zero,specular,quintic,replan
20,True,False,,,,2.094343430772728,0.8,sim,drag_bounce,zero,specular,quintic,replan
21,False,False,,,,0.1985251057173085,1.28,sim,drag_bounce,zero,specular,quintic,replan
22,False,False,,,,0.19492225745929503,1.552,sim,drag_bounce,zero,specular,quintic,replan
23,False,False,,,,0.19791526435523563,1.56,sim,drag_bounce,zero,specular,quintic,replan
24,False,False,,,,0.1991562669227036,1.592,sim,drag_bounce,zero,specular,quintic,replan
25,False,False,,,,0.19252958553418947,1.56,sim,drag_bounce,zero,specular,quintic,replan
26,False,False,,,,0.19761466374026637,1.56,sim,drag_bounce,zero,specular,quintic,replan
27,False,False,,,,0.18281695088168476,1.336,sim,drag_bounce,zero,specular,quintic,replan
28,False,False,,,,0.1960558214109839,1.552,sim,drag_bounce,zero,specular,quintic,replan
29,False,False,,,,0.19089895649581634,1.536,sim,drag_bounce,zero,specular,quintic,replan
30,False,False,,,,0.18237743890188407,1.6560000000000001,sim,drag_bounce,zero,specular,quintic,replan
31,True,False,,,,2.994634093533457,1.336,sim,drag_bounce,zero,specular,quintic,replan
32,False,False,,,,0.19308330311279698,1.56,sim,drag_bounce,zero,specular,quintic,replan
33,False,False,,,,0.18538381635412496,1.32,sim,drag_bounce,zero,specular,quintic,replan
34,False,False,,,,0.19932221119967689,1.512,sim,drag_bounce,zero,specular,quintic,replan
35,True,True,,,,5.621686203028448,1.016,sim,drag_bounce,zero,specular,quintic,replan
36,True,False,,,,2.985789125607784,1.176,sim,drag_bounce,zero,specular,quintic,replan
37,False,False,,,,0.1630730212901194,1.56,sim,drag_bounce,zero,specular,quintic,replan
38,False,False,,,,0.18313240486338028,1.56,sim,drag_bounce,zero,specular,quintic,replan
39,True,False,,,,2.9828323085366772,1.6640000000000001,sim,drag_bounce,zero,specular,quintic,replan
