episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.19669733983567497,1.408,sim,drag_bounce,zero,specular,quintic,mpc
1,True,False,,,,1.9824653465402118,1.224,sim,drag_bounce,zero,specular,quintic,mpc
2,False,False,,,,0.19380269363607572,1.8960000000000001,sim,drag_bounce,zero,specular,quintic,mpc
3,True,False,,,,2.9843695879608534,1.272,sim,drag_bounce,zero,specular,quintic,mpc
4,False,False,,,,0.19522800745831273,1.56,sim,drag_bounce,zero,specular,quintic,mpc
5,False,False,,,,0.19431843311571279,1.56,sim,drag_bounce,zero,specular,quintic,mpc
6,False,False,,,,0.19843297221235467,1.32,sim,drag_bounce,zero,specular,quintic,mpc
7,False,False,,,,0.19749997200067038,1.56,sim,drag_bounce,zero,specular,quintic,mpc
8,True,False,,,,2.900229332729163,0.72,sim,drag_bounce,zero,specular,quintic,mpc
9,False,False,,,,0.19699032184402596,1.288,sim,drag_bounce,zero,specular,quintic,mpc
10,False,False,,,,0.1979160486271122,1.536,sim,drag_bounce,zero,specular,quintic,mpc
11,False,False,,,,0.1980957958087649,1.56,sim,drag_bounce,zero,specular,quintic,mpc
12,True,False,,,,2.13015120022805,0.768,sim,drag_bounce,zero,specular,quintic,mpc
13,False,False,,,,0.1917036808778096,1.416,sim,drag_bounce,zero,specular,quintic,mpc
14,False,False,,,,0.19926928645497724,1.8880000000000001,sim,drag_bounce,zero,specular,quintic,mpc
15,False,False,,,,0.19692564637694676,1.224,sim,drag_bounce,zero,specular,quintic,mpc
16,True,False,,,,4.487394896345467,0.8240000000000001,sim,drag_bounce,zero,specular,quintic,mpc
17,False,False,,,,0.18630657537040135,1.56,sim,drag_bounce,zero,specular,quintic,mpc
18,False,False,,,,0.19936275914230517,1.808,sim,drag_bounce,zero,specular,quintic,mpc
19,False,False,,,,0.19639965339309373,1.432,sim,drag_bounce,zero,specular,quintic,mpc
20,True,False,,,,2.0093199653085154,1.016,sim,drag_bounce,zero,specular,quintic,mpc
21,False,False,,,,0.19707675279394543,1.56,sim,drag_bounce,zero,specular,quintic,mpc
22,True,False,,,,1.982350913015739,1.488,sim,drag_bounce,zero,specular,quintic,mpc
23,False,False,,,,0.1951001029965315,1.56,sim,drag_bounce,zero,specular,quintic,mpc
24,True,False,,,,1.9901407996539182,1.072,sim,drag_bounce,zero,specular,quintic,mpc
25,False,False,,,,0.17528487873240212,1.56,sim,drag_bounce,zero,specular,quintic,mpc
26,False,False,,,,0.19755126799880884,1.56,sim,drag_bounce,zero,specular,quintic,mpc
27,False,False,,,,0.18712490349604427,1.56,sim,drag_bounce,zero,specular,quintic,mpc
28,True,False,,,,4.091922282825504,0.8,sim,drag_bounce,zero,specular,quintic,mpc
29,False,False,,,,0.19470226647700778,1.28,sim,drag_bounce,zero,specular,quintic,mpc
30,False,False,,,,0.19723675373635308,1.56,sim,drag_bounce,zero,specular,quintic,mpc
31,True,False,,,,1.9819891798781601,0.888,sim,drag_bounce,zero,specular,quintic,mpc
32,False,False,,,,0.18416028220420466,1.56,sim,drag_bounce,zero,specular,quintic,mpc
33,False,False,,,,0.19364129975823013,0.464,sim,drag_bounce,zero,specular,quintic,mpc
34,False,False,,,,0.19689355811092077,1.56,sim,drag_bounce,zero,specular,quintic,mpc
35,False,False,,,,0.18200857352583902,1.56,sim,drag_bounce,zero,specular,quintic,mpc
36,True,False,,,,3.9578560090448023,0.864,sim,drag_bounce,zero,specular,quintic,mpc
37,False,False,,,,0.19024468937818634,2.024,sim,drag_bounce,zero,specular,quintic,mpc
38,False,False,,,,0.1979397900964644,1.296,sim,drag_bounce,zero,specular,quintic,mpc
39,False,False,,,,0.19639621322228812,1.696,sim,drag_bounce,zero,specular,quintic,mpc
