episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.19461359589557223,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
1,False,False,,,,0.18258187450628305,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
2,False,False,,,,0.18823335639182862,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
3,True,False,,,,2.0718668064235426,0.6880000000000001,sim,drag_bounce,zero,face_net,lerp,torque_mpc
4,False,False,,,,0.19756083114364298,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
5,False,False,,,,0.18767165387647228,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
6,False,False,,,,0.19553283798914323,1.448,sim,drag_bounce,zero,face_net,lerp,torque_mpc
7,True,False,,,,2.996462754573066,2.0,sim,drag_bounce,zero,face_net,lerp,torque_mpc
8,True,False,,,,1.9975939560320977,0.664,sim,drag_bounce,zero,face_net,lerp,torque_mpc
9,True,False,,,,2.9847147127168223,1.232,sim,drag_bounce,zero,face_net,lerp,torque_mpc
10,False,False,,,,0.18571214678259262,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
11,False,False,,,,0.19649642526132788,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
12,False,False,,,,0.1851490095821253,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
13,False,False,,,,0.19544838888607302,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
14,False,False,,,,0.1882639357334559,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
15,False,False,,,,0.19392859516686953,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
16,False,False,,,,0.18431061482011504,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
17,False,False,,,,0.1819261204031662,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
18,False,False,,,,0.18771589504399477,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
19,False,False,,,,0.193576215322098,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
20,False,False,,,,0.18388576221914602,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
21,False,False,,,,0.19377160207063146,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
22,False,False,,,,0.18989628588310214,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
23,True,False,,,,1.9819864628758737,1.736,sim,drag_bounce,zero,face_net,lerp,torque_mpc
24,False,False,,,,0.18758045151070715,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
25,True,False,,,,2.0588912467892424,0.592,sim,drag_bounce,zero,face_net,lerp,torque_mpc
26,False,False,,,,0.17922548611801536,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
27,False,False,,,,0.17999163413645383,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
28,False,False,,,,0.1775809681005884,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
29,False,False,,,,0.1842849743064839,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
30,False,False,,,,0.19386478896153214,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
31,False,False,,,,0.19250401185699326,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
32,True,False,,,,2.99184730535052,1.576,sim,drag_bounce,zero,face_net,lerp,torque_mpc
33,False,False,,,,0.18447051314276813,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
34,False,False,,,,0.18301745521246576,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
35,False,False,,,,0.19369485922503507,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
36,False,False,,,,0.19291486726683862,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
37,False,False,,,,0.19112428068788256,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
38,True,False,,,,1.9855996912480025,0.968,sim,drag_bounce,zero,face_net,lerp,torque_mpc
39,False,False,,,,0.18643065113118207,1.56,sim,drag_bounce,zero,face_net,lerp,torque_mpc
