episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,False,False,,,,0.18140549122956964,1.736,sim,drag_bounce,zero,specular,quintic,replan
1,False,False,,,,0.19325668873022442,1.56,sim,drag_bounce,zero,specular,quintic,replan
2,False,False,,,,0.15315079695736292,1.56,sim,drag_bounce,zero,specular,quintic,replan
3,False,False,,,,0.0657083387646918,1.56,sim,drag_bounce,zero,specular,quintic,replan
4,False,False,,,,0.19776746025414133,1.56,sim,drag_bounce,zero,specular,quintic,replan
5,False,False,,,,0.1921920315323266,1.56,sim,drag_bounce,zero,specular,quintic,replan
6,False,False,,,,0.16198372533067507,1.56,sim,drag_bounce,zero,specular,quintic,replan
7,False,False,,,,0.18946592555434028,1.56,sim,drag_bounce,zero,specular,quintic,replan
8,True,False,,,,1.9877896218559663,1.832,sim,drag_bounce,zero,specular,quintic,replan
9,False,False,,,,0.1863470722855035,1.56,sim,drag_bounce,zero,specular,quintic,replan
10,False,False,,,,0.18037206415172904,1.56,sim,drag_bounce,zero,specular,quintic,replan
11,True,False,,,,1.9447384460876467,1.84,sim,drag_bounce,zero,specular,quintic,replan
12,False,False,,,,0.19146982709716986,1.56,sim,drag_bounce,zero,specular,quintic,replan
13,False,False,,,,0.10348390534679384,1.56,sim,drag_bounce,zero,specular,quintic,replan
14,False,False,,,,0.193739783320699,1.56,sim,drag_bounce,zero,specular,quintic,replan
15,False,False,,,,0.037269616705582376,1.56,sim,drag_bounce,zero,specular,quintic,replan
16,True,False,,,,1.9928068198811606,1.944,sim,drag_bounce,zero,specular,quintic,replan
17,True,False,,,,1.9512562704672545,1.672,sim,drag_bounce,zero,specular,quintic,replan
18,False,False,,,,0.06690298299053439,1.624,sim,drag_bounce,zero,specular,quintic,replan
19,False,False,,,,0.10627652084376193,1.56,sim,drag_bounce,zero,specular,quintic,replan
