episode,contact,landed,landing_x,landing_y,prediction_error,reward,episode_time,perceiver,predictor,spin,aimer,swing,control
0,True,False,,,,1.9883229732192287,1.832,sim,neural_ode,zero,face_net,lerp,reactive
1,False,False,,,,0.18834294283705744,0.984,sim,neural_ode,zero,face_net,lerp,reactive
2,False,False,,,,0.18355379941694028,1.56,sim,neural_ode,zero,face_net,lerp,reactive
3,True,False,,,,1.995035728879355,1.44,sim,neural_ode,zero,face_net,lerp,reactive
4,False,False,,,,0.19793976590847256,1.528,sim,neural_ode,zero,face_net,lerp,reactive
5,False,False,,,,0.19520493024980828,1.352,sim,neural_ode,zero,face_net,lerp,reactive
6,False,False,,,,0.15960487401575923,1.56,sim,neural_ode,zero,face_net,lerp,reactive
7,False,False,,,,0.16530951980274766,1.064,sim,neural_ode,zero,face_net,lerp,reactive
8,False,False,,,,0.19363256266659293,1.328,sim,neural_ode,zero,face_net,lerp,reactive
9,False,False,,,,0.19780243736404704,1.312,sim,neural_ode,zero,face_net,lerp,reactive
10,False,False,,,,0.18151961452813473,1.1520000000000001,sim,neural_ode,zero,face_net,lerp,reactive
11,True,False,,,,1.9915091662502025,2.04,sim,neural_ode,zero,face_net,lerp,reactive
12,False,False,,,,0.1980849745865363,1.512,sim,neural_ode,zero,face_net,lerp,reactive
13,True,False,,,,1.9889143308288457,2.248,sim,neural_ode,zero,face_net,lerp,reactive
14,False,False,,,,0.19797595406751256,1.408,sim,neural_ode,zero,face_net,lerp,reactive
15,False,False,,,,0.19148991779730243,1.56,sim,neural_ode,zero,face_net,lerp,reactive
16,False,False,,,,0.18229249112673931,1.344,sim,neural_ode,zero,face_net,lerp,reactive
17,False,False,,,,0.1664515166355093,1.56,sim,neural_ode,zero,face_net,lerp,reactive
18,False,False,,,,0.19836795815059138,1.488,sim,neural_ode,zero,face_net,lerp,reactive
19,False,False,,,,0.16561375426513947,1.416,sim,neural_ode,zero,face_net,lerp,reactive
